Attraction,Event Name,Location (District/Place),Province No.,Venue,Month / Season,Duration,Type,Description / Source
Tripureswor,Tripureswor Temple Festival,Kathmandu,3,Temple Grounds,April,1 day,Religious / Cultural,"Rituals, folk music, and community gathering."
Salyankot,Salyankot Highland Trek & Cultural Festival,Kavre,3,Hill / Village,Autumn,1 day,Adventure / Cultural,Trekking and local folk performances.
Mahavir,Mahavir Temple Mela,Kathmandu,3,Temple Grounds,March,1 day,Religious / Cultural,Devotional rituals with folk performances and local crafts.
Vharse Pokhari,Vharse Pokhari Eco & Cultural Day,Kavre,3,Pond / Hill Area,Summer,1 day,Eco / Cultural,Folk performances and environmental awareness.
Gangajamuna,Gangajamuna Highland Eco Festival,Dhading,3,Hill / Village,Spring,1 day,Eco / Cultural,"Trekking, folk music, and handicraft exhibitions."
Gumdi,Gumdi Village Cultural Day,Kavre,3,Village Grounds,Autumn,1 day,Cultural,Folk performances and handicraft stalls.
Khaniyanbas,Khaniyanbas Eco & Cultural Trek,Rasuwa,3,Hill / Village,Summer,1 day,Adventure / Eco,Trekking and local folk performances.
Satyadevi Mandir,Satyadevi Mandir Mela,Dhading,3,Temple Grounds,March,1 day,Religious / Cultural,Devotional rituals and folk performances.
Kintang,Kintang Highland Trek & Cultural Festival,Kavre,3,Hill / Village,Autumn,1 day,Adventure / Cultural,Trekking with folk performances and handicrafts.
Salme,Salme Village Cultural Festival,Dhading,3,Village Grounds,Spring,1 day,Cultural,Folk performances and handicraft exhibitions.
Bhalche,Bhalche Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Summer,1 day,Eco / Cultural,Trekking and folk performances.
Kaule,Kaule Highland Trek & Cultural Day,Rasuwa,3,Trek / Village,Autumn,1 day,Adventure / Cultural,Trekking with local folk performances.
Fikuri,Fikuri Village Cultural Festival,Rasuwa,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicrafts."
Jibjibe,Jibjibe Highland Eco & Cultural Day,Dhading,3,Hill / Village,Summer,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Bhorle,Bhorle Village Cultural Festival,Dhading,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicraft exhibitions."
Jharlang,Jharlang Highland Cultural Festival,Rasuwa,3,Hill / Village Grounds,Spring,1 day,Cultural,Folk performances and handicraft stalls.
Hetauda,Hetauda Cultural & Eco Week,Makwanpur,3,Town Square / Hill,Summer,2 days,Cultural / Eco,"Folk performances, handicrafts, and environmental awareness programs."
Sukaura,Sukaura Highland Trek & Festival,Dhading,3,Hill / Trek Base,Autumn,1 day,Adventure / Cultural,Trekking and folk performances.
Lattaramveshwar Mahadev Temple,Lattaramveshwar Temple Mela,Dhading,3,Temple Grounds,March,1 day,Religious / Cultural,Devotional rituals and folk performances.
Ichankhu Narayan,Ichankhu Narayan Temple Festival,Kavre,3,Temple Grounds,April,1 day,Religious / Cultural,Rituals and folk performances.
Harnamadi,Harnamadi Village Cultural Day,Dhading,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicrafts."
Shreepur Chhatiwan,Shreepur Chhatiwan Eco & Cultural Day,Makwanpur,3,Hill / Village,Summer,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Gundu,Gundu Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Manthali,Manthali Highland Cultural Day,Ramechhap,3,Village Grounds,Spring,1 day,Cultural,Folk performances and handicraft exhibitions.
Asrang,Asrang Eco & Cultural Trek,Ramechhap,3,Hill / Village,Summer,1 day,Adventure / Eco,Trekking and folk performances.
Chamere Cave,Chamere Cave Highland Festival,Ramechhap,3,Cave / Hill,Autumn,1 day,Adventure / Cultural,"Trekking, folk performances, and local handicrafts."
Gotikhel,Gotikhel Village Cultural Festival,Lalitpur,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicraft exhibitions."
Kaleshwor,Kaleshwor Mahadev Temple Mela,Kavre,3,Temple Grounds,March,1 day,Religious / Cultural,Devotional rituals with folk performances.
Chyamrang Besi,Chyamrang Besi Highland Trek & Cultural Day,Rasuwa,3,Trek / Village,Summer,1 day,Adventure / Cultural,Trekking and folk performances.
Tin Tale Waterfall,Tin Tale Eco & Cultural Day,Kavre,3,Waterfall / Hill,Summer,1 day,Eco / Cultural,Folk performances and environmental awareness.
Manikhel,Manikhel Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicraft stalls."
Kalanti,Kalanti Highland Eco & Cultural Trek,Kavre,3,Hill / Village,Spring,1 day,Adventure / Eco,Trekking and folk performances.
Malpi,Malpi Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk performances, music, and handicrafts."
KapalKot,KapalKot Highland Cultural Festival,Rasuwa,3,Hill / Village,Summer,1 day,Cultural,"Trekking, folk performances, and handicraft exhibitions."
Mahendrajyoti,Mahendrajyoti Highland Eco & Cultural Day,Kavre,3,Hill / Village,Spring,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Baramchi,Baramchi Village Cultural Festival,Rasuwa,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Mankha,Mankha Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Summer,1 day,Eco / Cultural,Trekking and local folk performances.
Maneshwor,Maneshwor Temple Mela,Kathmandu,3,Temple Grounds,March,1 day,Religious / Cultural,Devotional rituals and folk performances.
Yalmu Waterfall,Yalmu Waterfall Eco & Cultural Day,Rasuwa,3,Waterfall / Hill,Summer,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Gathi,Gathi Highland Cultural Festival,Rasuwa,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Marming,Marming Village Eco & Cultural Trek,Rasuwa,3,Hill / Village,Spring,1 day,Adventure / Eco,Trekking and folk performances.
Dhuskun,Dhuskun Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Summer,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Chaukati,Chaukati Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Ghorthali,Ghorthali Highland Cultural Day,Rasuwa,3,Village Grounds,Spring,1 day,Cultural,Folk performances and handicraft exhibitions.
Bigu,Bigu Highland Eco & Cultural Trek,Rasuwa,3,Trek / Village,Summer,2 days,Adventure / Cultural,Trekking and local folk performances.
Deudhunga Dada,Deudhunga Dada Highland Cultural Festival,Rasuwa,3,Hill / Village,Autumn,1 day,Cultural,Trekking and folk performances.
Seti Mata,Seti Mata Temple Mela,Rasuwa,3,Temple Grounds,March,1 day,Religious / Cultural,Devotional rituals with folk performances.
Kalinchowk Bhagawati Temple,Kalinchowk Bhagawati Temple Mela,Dolakha,3,Temple Grounds,May,1 day,Religious / Cultural,"Devotional rituals, local folk dances, and handicraft stalls."
Gairabari,Gairabari Highland Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Cultural,Folk performances and handicrafts.
Betechhap,Betechhap Highland Trek & Cultural Day,Rasuwa,3,Trek / Hill,Summer,1 day,Adventure / Cultural,Trekking with local folk performances.
Lisankhu,Lisankhu Village Cultural Festival,Rasuwa,3,Village Grounds,Autumn,1 day,Cultural,Folk performances and handicrafts.
Attarpur,Attarpur Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Baghkhor,Baghkhor Village Cultural Festival,Rasuwa,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicraft stalls."
Aahaldanda,Aahaldanda Highland Trek & Cultural Festival,Rasuwa,3,Hill / Village,Summer,1 day,Adventure / Cultural,Trekking with folk performances.
Jiri,Jiri Highland Eco & Cultural Trek,Dolakha / Ramechhap,3,Trek / Village,Spring,2 days,Adventure / Cultural,"Trekking, folk performances, and handicraft exhibitions."
Chuchure,Chuchure Village Cultural Day,Lalitpur,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and local handicraft exhibition."
Harisiddhi,Harisiddhi Temple Festival,Lalitpur,3,Temple Grounds,March,1 day,Religious / Cultural,"Devotional rituals, folk performances, and community gathering."
Siddhipur,Siddhipur Heritage Festival,Lalitpur,3,Village Streets,Autumn,2 days,Cultural / Heritage,"Newari folk dances, handicraft fair, and traditional food exhibition."
Lubhu,Lubhu Cultural & Heritage Fair,Lalitpur,3,Village Grounds,Spring,1 day,Cultural,"Folk performances, traditional Newari rituals, and handicraft stalls."
Dadhikot,Dadhikot Highland Eco & Cultural Day,Bhaktapur,3,Hill / Village,Summer,1 day,Adventure / Cultural,"Trekking, folk performances, and environmental awareness."
Gundu Chaur,Gundu Chaur Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Ranikot,Ranikot Highland Trek & Cultural Day,Kavre,3,Hill / Village,Spring,1 day,Adventure / Cultural,Trekking combined with local folk performances.
Sirandada,Sirandada Highland Eco & Cultural Day,Kavre,3,Hill / Village,Summer,1 day,Eco / Cultural,Trekking and environmental awareness with folk performances.
Ghyampe Danda,Ghyampe Danda Village Festival,Kavre,3,Hill / Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicraft exhibitions."
Nangkhel,Nangkhel Highland Trek & Cultural Festival,Kavre,3,Hill / Village,Spring,1 day,Adventure / Cultural,Trekking and local folk performances.
Bhainsepati,Bhainsepati Cultural Heritage Day,Lalitpur,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Dhunkharka,Dhunkharka Highland Eco & Cultural Trek,Kavre,3,Hill / Village,Summer,1 day,Adventure / Eco,"Trekking, folk performances, and environmental awareness."
Tindhare Jharana,Tindhare Waterfall Eco Festival,Kavre,3,Waterfall / Hill,Summer,1 day,Eco / Cultural,Folk performances and environmental awareness at waterfall.
Patlekhet,Patlekhet Highland Cultural Festival,Kavre,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicraft stalls."
TinPiple,TinPiple Highland Trek & Cultural Day,Kavre,3,Hill / Village,Autumn,1 day,Adventure / Cultural,Trekking and folk performances.
Dulalthok,Dulalthok Eco & Cultural Day,Kavre,3,Hill / Village,Summer,1 day,Eco / Cultural,Environmental awareness combined with local folk performances.
Panchkhal,Panchkhal Highland Cultural Festival,Kavre,3,Village Grounds,Spring,1 day,Cultural,"Folk performances, dances, and handicraft exhibitions."
Jyamdi Mandan,Jyamdi Mandan Village Cultural Day,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Phalante,Phalante Highland Eco & Cultural Day,Kavre,3,Hill / Village,Summer,1 day,Eco / Cultural,Trekking and local folk performances.
Panichaur,Panichaur Village Cultural Festival,Kavre,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicraft stalls."
Bethan,Bethan Highland Eco & Cultural Trek,Kavre,3,Hill / Village,Summer,1 day,Adventure / Eco,Trekking and environmental awareness with folk performances.
Madan Kundari,Madan Kundari Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk performances, dances, and handicraft exhibitions."
Gunsi Bhadaure,Gunsi Bhadaure Highland Trek & Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Adventure / Cultural,Trekking and local folk performances.
Tokarpur,Tokarpur Village Cultural Festival,Kavre,3,Village Grounds,Summer,1 day,Cultural,"Folk music, dances, and handicrafts."
Katakuti,Katakuti Highland Eco & Cultural Day,Kavre,3,Hill / Village,Autumn,1 day,Eco / Cultural,Folk performances combined with environmental awareness.
Bhusapheda,Bhusapheda Highland Cultural Festival,Kavre,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicrafts."
Marming,Marming Highland Eco & Cultural Trek,Rasuwa,3,Hill / Village,Summer,1 day,Adventure / Eco,Trekking and local folk performances.
Tauthali,Tauthali Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicraft stalls."
Piskar,Piskar Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Kharidhunga,Kharidhunga Highland Trek & Cultural Festival,Rasuwa,3,Hill / Village,Summer,1 day,Adventure / Cultural,Trekking and local folk performances.
Nalang,Nalang Village Cultural Festival,Dhading,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Bungchung,Bungchung Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Eco / Cultural,Trekking and folk performances.
Dovantar,Dovantar Village Cultural Festival,Kavre,3,Village Grounds,Summer,1 day,Cultural,"Folk music, dances, and handicrafts."
Sasaha,Sasaha Highland Trek & Cultural Day,Rasuwa,3,Hill / Village,Autumn,1 day,Adventure / Cultural,Trekking and local folk performances.
Murali Bhanjyang,Murali Bhanjyang Eco & Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Aansi Khola Motorable Bridge,Aansi Khola Bridge Cultural Festival,Kavre,3,Bridge Area / Hill,Summer,1 day,Cultural,Folk performances and community gathering.
Sunkhani,Sunkhani Highland Eco & Cultural Trek,Kavre,3,Hill / Village,Autumn,1 day,Adventure / Eco,Trekking and local folk performances.
Golabhanjyang,Golabhanjyang Village Cultural Festival,Rasuwa,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicrafts."
Jyamrung,Jyamrung Highland Trek & Cultural Day,Dhading,3,Hill / Village,Summer,1 day,Adventure / Cultural,Trekking and local folk performances.
Katunge,Katunge Village Cultural Festival,Kavre,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Phulkharka,Phulkharka Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Spring,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Budhathum,Budhathum Village Cultural Festival,Dhading,3,Village Grounds,Summer,1 day,Cultural,"Folk music, dances, and handicrafts."
Mulpani,Mulpani Highland Eco & Cultural Trek,Kavre,3,Hill / Village,Autumn,1 day,Adventure / Eco,Trekking and local folk performances.
Sangkosh,Sangkosh Village Cultural Festival,Dhading,3,Village Grounds,Spring,1 day,Cultural,Folk performances and handicrafts.
Sertung,Sertung Highland Eco & Cultural Day,Rasuwa,3,Hill / Village,Summer,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Babil Waterfall,Babil Waterfall Eco Festival,Rasuwa,3,Waterfall / Hill,Summer,1 day,Eco / Cultural,Folk performances and environmental awareness at waterfall.
Borang,Borang Village Cultural Festival,Rasuwa,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Kalo Daha Mhane,Kalo Daha Eco & Cultural Day,Kavre,3,Hill / Waterfall,Spring,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Pusu Wala Kharka,Pusu Wala Highland Cultural Festival,Rasuwa,3,Hill / Village,Summer,1 day,Cultural,Trekking and local folk performances.
Pabil,Pabil Village Cultural Festival,Rasuwa,3,Village Grounds,Autumn,1 day,Cultural,"Folk music, dances, and handicrafts."
Dhunche,Dhunche Highland Eco & Cultural Trek,Rasuwa,3,Hill / Village,Spring,2 days,Adventure / Eco,"Trekking, folk performances, and environmental awareness."
Chandanbari,Chandanbari Village Cultural Festival,Dhading,3,Village Grounds,Summer,1 day,Cultural,"Folk music, dances, and handicrafts."
Lauri Binayak,Lauri Binayak Highland Eco & Cultural Day,Kavre,3,Hill / Village,Autumn,1 day,Eco / Cultural,"Trekking, folk performances, and environmental awareness."
Gaunkharka,Gaunkharka Village Cultural Festival,Rasuwa,3,Village Grounds,Spring,1 day,Cultural,Folk performances and handicrafts.
Sursing Waterfall,Sursing Waterfall Eco & Cultural Day,Rasuwa,3,Waterfall / Hill,Summer,1 day,Eco / Cultural,Folk performances and environmental awareness.
MaginGoth,MaginGoth Highland Cultural Festival,Rasuwa,3,Hill / Village,Autumn,1 day,Cultural,Trekking and folk performances.
Thakani,Thakani Village Cultural Festival,Dhading,3,Village Grounds,Spring,1 day,Cultural,"Folk music, dances, and handicrafts."
Talramarang,Talramarang Highland Eco & Cultural Trek,Rasuwa,3,Hill / Village,Summer,1 day,Adventure / Eco,Trekking and folk performances.
Dubachaur,Dubachaur Village Cultural Festival,Dhading,3,Village Grounds,Autumn,1 day,Cultural,"Folk performances, music, and handicrafts."
Tipeni,Tipeni Highland Eco & Cultural Trek,Rasuwa,3,Hill / Village,Spring,1 day,Adventure / Eco,"Trekking, folk performances, and environmental awareness."
Sikharpur,Sikharpur Village Cultural Festival,Rasuwa,3,Village Grounds,Summer,1 day,Cultural,"Folk music, dances, and handicrafts."
Dolalghat,Dolalghat Highland Cultural Trek,Kavre,3,Hill / Village,Spring,1 day,Adventure / Cultural,Trekking with local folk performances and handicraft exhibition.
